"CASN"	"Compound"	"Assay"	"Endpoint"	"S9"	"BMR"	"EXP_loglik"	"EXP_AIC"	"EXP_BMDL"	"EXP_BMD"	"EXP_BMDU"	"HILL_loglik"	"HILL_AIC"	"HILL_BMDL"	"HILL_BMD"	"HILL_BMDU"	"GEO_BMDL"	"GEO_BMD"	"GEO_BMDU"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr Polyploidy"	"-"	0.05	-9.64	29.28	NA	NA	NA	-9.75	29.5	NA	NA	NA	"NA"	"NA"	"NA"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.05	37.32	-64.64	0.291	0.57	1.02	37.93	-65.86	0.368	0.74	1.35	"0.327243028955546"	"0.649461315245181"	"1.17345643293648"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p53 shift"	"-"	0.05	44.51	-79.02	19.9	29	39.5	44.51	-79.02	19.9	29	39.6	"19.9"	"29"	"39.5499683944248"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p-H3"	"-"	0.05	2.28	5.44	38.8	100	199	0.45	9.1	87.5	190	214	"58.2666285278289"	"137.840487520902"	"206.363756507774"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"TGR FE1"	"Mutation Frequency"	"-"	0.05	12.17	-14.34	0.694	3.7	8.11	12.34	-14.68	0.844	5.2	12.5	"0.765333914053206"	"4.38634243989226"	"10.0685152828011"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"+"	0.05	-12.18	34.36	931	14000	21600	-12.19	34.38	1600	12000	20000	"1220.49170419139"	"12961.4813968157"	"20784.6096908265"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"-"	0.05	-12.33	34.66	0.792	220	5620	-12.37	34.74	3.51	240	5360	"1.66730920947496"	"229.782505861521"	"5488.46062206881"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"+"	0.05	-11.01	32.02	NA	NA	NA	-11.01	32.02	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"-"	0.05	-13.73	37.46	643	5200	7990	-13.84	37.68	869	4400	7960	"747.507190600866"	"4783.30429724056"	"7974.98589340445"
"2835-98-5"	"2-Amino-5-methylphenol"	"CometChip"	"% DNA in tail"	"-"	0.05	9.91	-9.82	76.9	100	112	9.14	-8.28	77.1	100	109	"76.9999350649077"	"100"	"110.489818535465"
"2835-98-5"	"2-Amino-5-methylphenol"	"MicroFlow"	"% Micronucleus"	"-"	0.05	-10.73	31.46	NA	NA	NA	-10.73	31.46	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"%Cytotoxicity"	"-"	0.05	2.83	4.34	0	6.3e-05	3.5	2.89	4.22	0	0.00065	5.13	"0"	"0.000202361063448481"	"4.23733406754766"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.05	14.96	-19.92	1.26	4.2	11.9	14.96	-19.92	1.26	4.2	11.9	"1.26"	"4.2"	"11.9"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p53 shift"	"-"	0.05	10.73	-11.46	64	77	84.3	8.92	-7.84	55.7	74	83.3	"59.7059461025449"	"75.4850978670625"	"83.798508339946"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p-H3"	"-"	0.05	5.74	-1.48	159	210	221	4.25	1.5	140	190	210	"149.197855212466"	"199.749843554382"	"215.429802952145"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr Polyploidy"	"-"	0.05	-2.5	15	18.8	46	74.1	-2.59	15.18	19	48	71.6	"18.8997354478839"	"46.9893604978829"	"72.8392751199516"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.05	4.37	1.26	53.1	77	90	3.21	3.58	37.4	74	91	"44.5638867245666"	"75.4850978670625"	"90.4986187739901"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p53 shift"	"-"	0.05	22.67	-35.34	14.9	35	66	22.67	-35.34	14.9	35	65.9	"14.9"	"35"	"65.9499810462444"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p-H3"	"-"	0.05	-1.54	13.08	NA	NA	NA	-1.72	13.44	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"+"	0.05	-18.02	46.04	NA	NA	NA	-18.05	46.1	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"-"	0.05	-4.41	18.82	NA	NA	NA	-4.41	18.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"+"	0.05	-15.4	40.8	NA	NA	NA	-15.41	40.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"-"	0.05	-21.26	52.52	NA	NA	NA	-21.31	52.62	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"CometChip"	"% DNA in tail"	"-"	0.05	11.09	-12.18	0	0.0024	0.0341	11.13	-12.26	0	0.0083	0.0858	"0"	"0.00446318272088428"	"0.0540904797538347"
"33419-42-0"	"Etoposide"	"MicroFlow"	"% Micronucleus"	"-"	0.05	-10.67	31.34	NA	NA	NA	-9.89	29.78	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"%Cytotoxicity"	"-"	0.05	13.17	-16.34	NA	1e-06	NA	13.2	-16.4	0	0.00082	0.00717	"NA"	"2.86356421265527e-05"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.05	18.56	-27.12	0.0146	0.021	0.0282	19.99	-29.98	0.0185	0.025	0.0324	"0.0164347193465541"	"0.0229128784747792"	"0.030227140122744"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p53 shift"	"-"	0.05	30.68	-51.36	0.00413	0.0053	0.00681	34.12	-58.24	0.00591	0.0072	0.00857	"0.00494047568559952"	"0.0061773780845922"	"0.00763948296679821"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p-H3"	"-"	0.05	-2.84	15.68	0.00121	0.012	0.0398	-3.65	17.3	0.0037	0.028	0.0594	"0.00211589224678385"	"0.0183303027798234"	"0.0486222171440176"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr Polyploidy"	"-"	0.05	-8.08	26.16	NA	NA	NA	-8.17	26.34	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.05	31.74	-53.48	0.00438	0.0066	0.00946	31.97	-53.94	0.00458	0.007	0.0102	"0.00447888378951721"	"0.00679705818718657"	"0.0098230341544759"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p53 shift"	"-"	0.05	32.46	-54.92	0.00627	0.0091	0.0129	32.46	-54.92	0.00628	0.0091	0.0129	"0.00627499800796781"	"0.0091"	"0.0129"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p-H3"	"-"	0.05	5.79	-1.58	0.000489	0.002	0.0144	3.17	3.66	0.00628	0.018	0.0452	"0.00175240406299461"	"0.006"	"0.0255123499505632"
"33419-42-0"	"Etoposide"	"TGR FE1"	"Mutation Frequency"	"-"	0.05	0.98	8.04	NA	NA	NA	0.98	8.04	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"+"	0.05	-15.38	40.76	NA	NA	NA	-15.38	40.76	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"-"	0.05	-16.44	42.88	NA	NA	NA	-16.24	42.48	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"+"	0.05	-18.2	46.4	NA	NA	NA	-18.2	46.4	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"-"	0.05	-13.56	37.12	0.000365	4.7	1260	-13.56	37.12	0.000362	4.8	1190	"0.000363496905076233"	"4.74973683481517"	"1224.49989791751"
"24292-52-2"	"Hesperidin methyl chalcone"	"CometChip"	"% DNA in tail"	"-"	0.05	14.12	-18.24	262	1500	1980	13.54	-17.08	23.4	1300	2010	"78.2994252852471"	"1396.42400437689"	"1994.94360822556"
"24292-52-2"	"Hesperidin methyl chalcone"	"MicroFlow"	"% Micronucleus"	"-"	0.05	0.78	8.44	2.98	38	81.9	1.15	7.7	5.24	36	77.5	"3.95160726793542"	"36.9864840178139"	"79.669630349337"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"%Cytotoxicity"	"-"	0.05	-0.02	10.04	3.12	11	64.7	1.8	6.4	6.92	15	57.5	"4.64654710510934"	"12.8452325786651"	"60.9938521492125"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.05	14.81	-19.62	355	390	414	12.44	-14.88	327	370	408	"340.712488764354"	"379.868398264452"	"410.989050949049"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p53 shift"	"-"	0.05	21.38	-32.76	289	330	357	20.56	-31.12	307	330	341	"297.864062954899"	"330"	"348.908297407786"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p-H3"	"-"	0.05	1.7	6.6	364	510	636	0.76	8.48	250	500	699	"301.662062579967"	"504.975246918104"	"666.756327304061"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr Polyploidy"	"-"	0.05	-1.92	13.84	166	250	302	-2.16	14.32	159	250	302	"162.462303319878"	"250"	"302"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.05	10.18	-10.36	NA	NA	NA	10.18	-10.36	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p53 shift"	"-"	0.05	18.51	-27.02	91.6	470	556	17.8	-25.6	37.5	430	551	"58.6088730483704"	"449.55533585978"	"553.494354081412"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p-H3"	"-"	0.05	-1.94	13.88	NA	NA	NA	-2.14	14.28	NA	NA	NA	"NA"	"NA"	"NA"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"+"	0.05	-22.55	55.1	4.94	16	19.1	-23.06	56.12	5.89	11	16.3	"5.39412643529979"	"13.2664991614216"	"17.6445458995124"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"-"	0.05	-19.73	49.46	5.92	16	20.2	-20.15	50.3	6.72	13	17.8	"6.30732907021665"	"14.422205101856"	"18.962067397834"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"+"	0.05	-19.05	48.1	3.32	17	22	-19.17	48.34	4.27	13	19.9	"3.76515603926318"	"14.8660687473185"	"20.9236708060512"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"-"	0.05	-10.2	30.4	0.619	8.6	21	-10.2	30.4	0.913	8.2	18.7	"0.751762595504725"	"8.39761871008681"	"19.8166596579747"
"66-27-3"	"Methyl methanesulfonate"	"CometChip"	"% DNA in tail"	"-"	0.05	10.2	-10.4	5.22	17	48.1	10.2	-10.4	5.22	17	48.1	"5.22"	"17"	"48.1"
"66-27-3"	"Methyl methanesulfonate"	"MicroFlow"	"% Micronucleus"	"-"	0.05	-29.09	68.18	0.263	0.83	1.93	-29.09	68.18	0.263	0.83	1.93	"0.263"	"0.83"	"1.93"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"%Cytotoxicity"	"-"	0.05	7.21	-4.42	8.86e-05	0.05	0.556	7.21	-4.42	8.62e-05	0.05	0.554	"8.7391761625453e-05"	"0.05"	"0.554999099098368"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.05	19.08	-28.16	0.269	0.68	1.53	17.27	-24.54	0.505	1.3	2.79	"0.368571566998867"	"0.940212741883453"	"2.06608325098482"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p53 shift"	"-"	0.05	34.03	-58.06	3.99	5.9	8.29	30.82	-51.64	4.39	7.2	10.6	"4.18522400834173"	"6.51766829472013"	"9.37411329139989"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p-H3"	"-"	0.05	0.66	8.68	0.139	2	8.4	0.06	9.88	0.316	4	15.5	"0.209580533447169"	"2.82842712474619"	"11.4105214604767"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr Polyploidy"	"-"	0.05	1.36	7.28	4.28e-05	0.014	13.7	1.36	7.28	1.02e-05	0.014	13.7	"2.08940182827526e-05"	"0.014"	"13.7"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.05	42.11	-74.22	0.494	0.82	1.3	42.26	-74.52	0.63	1.1	1.73	"0.557870952819736"	"0.949736805646701"	"1.4996666296214"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p53 shift"	"-"	0.05	46.85	-83.7	27.2	37	47	47.05	-84.1	28.3	39	48.6	"27.7445490141757"	"37.9868398264452"	"47.7933049704663"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p-H3"	"-"	0.05	-1.83	13.66	0.0472	5	40	-2.32	14.64	0.0333	5.6	33.4	"0.0396454284880363"	"5.29150262212918"	"36.5513337649941"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.05	11.78	-13.56	0.0414	5.5	188	11.74	-13.48	0.0404	4.3	236	"0.0408969436510847"	"4.86312656631513"	"210.637128730905"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.1	11.78	-13.56	0.655	26	354	11.74	-13.48	0.651	22	386	"0.652996937205681"	"23.9165214862028"	"369.653892174829"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"+"	0.1	-31.73	73.46	4910	18000	20400	-32.24	74.48	5870	11000	16600	"5368.58454343414"	"14071.2472794703"	"18402.1737846375"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"-"	0.1	-24.19	58.38	17.5	170	255	-24.33	58.66	37.6	160	239	"25.6515106767613"	"164.924225024706"	"246.870411349761"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"+"	0.1	-27.83	65.66	2180	5300	6690	-28.55	67.1	2250	3900	5960	"2214.72345903501"	"4546.42716866772"	"6314.45959683012"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"-"	0.1	-29.84	69.68	1770	5100	6410	-30.62	71.24	1920	3500	5510	"1843.47497948847"	"4224.92603485552"	"5942.98746423043"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"CometChip"	"% DNA in tail"	"-"	0.1	16.25	-22.5	37.7	57	80	16.78	-23.56	44.8	68	94.4	"41.0969585249322"	"62.2575296650935"	"86.9022439296017"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MicroFlow"	"% Micronucleus"	"-"	0.1	-22.54	55.08	7.87	19	32.6	-22.56	55.12	7.82	19	33.4	"7.84496016560951"	"19"	"32.9975756685245"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"%Cytotoxicity"	"-"	0.1	6.11	-2.22	3.2	14	32.5	7.2	-4.4	7.7	19	31.8	"4.96386945839634"	"16.3095064303001"	"32.148094811357"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.1	37.55	-65.1	4.56	6.2	8.14	41.13	-72.26	6.6	8.2	10	"5.48598213631798"	"7.13021738799035"	"9.02219485491197"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p53 shift"	"-"	0.1	36.47	-62.94	10.1	15	21.3	37.6	-65.2	11.8	17	23.8	"10.9169592836101"	"15.9687194226713"	"22.5153281121995"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p-H3"	"-"	0.1	8.33	-6.66	4.27	30	42.5	8.23	-6.46	2.82	27	41.5	"3.47007204536159"	"28.4604989415154"	"41.9970237040674"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr Polyploidy"	"-"	0.1	-9.64	29.28	NA	NA	NA	-9.75	29.5	NA	NA	NA	"NA"	"NA"	"NA"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.1	37.32	-64.64	0.889	1.5	2.48	37.93	-65.86	1.06	1.9	3.02	"0.970741984257403"	"1.68819430161341"	"2.73671335729557"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p53 shift"	"-"	0.1	44.51	-79.02	45.3	60	76.6	44.51	-79.02	45.3	60	76.6	"45.3"	"60"	"76.6"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p-H3"	"-"	0.1	2.28	5.44	67.3	150	251	0.45	9.1	121	240	258	"90.2402349287722"	"189.736659610103"	"254.475932064311"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"TGR FE1"	"Mutation Frequency"	"-"	0.1	12.17	-14.34	1.54	6.3	12.3	12.34	-14.68	1.82	8.3	17.6	"1.6741565040342"	"7.23118247591637"	"14.7132593261996"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"+"	0.1	-12.18	34.36	2170	17000	25900	-12.19	34.38	3050	15000	24200	"2572.64455376175"	"15968.7194226713"	"25035.5746888303"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"-"	0.1	-12.33	34.66	6.26	500	7070	-12.37	34.74	15.9	480	6480	"9.97667279206851"	"489.897948556636"	"6768.57444370674"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"+"	0.1	-11.01	32.02	NA	NA	NA	-11.01	32.02	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"-"	0.1	-13.73	37.46	1280	6200	9570	-13.84	37.68	1540	5300	9590	"1403.99430198274"	"5732.36425918661"	"9579.9947807919"
"2835-98-5"	"2-Amino-5-methylphenol"	"CometChip"	"% DNA in tail"	"-"	0.1	9.91	-9.82	95.7	120	133	9.14	-8.28	95.8	120	130	"95.7499869451688"	"120"	"131.491444588612"
"2835-98-5"	"2-Amino-5-methylphenol"	"MicroFlow"	"% Micronucleus"	"-"	0.1	-10.73	31.46	NA	NA	NA	-10.73	31.46	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"%Cytotoxicity"	"-"	0.1	2.83	4.34	0	0.00017	5.58	2.89	4.22	0	0.0015	7.59	"0"	"0.000504975246918104"	"6.50785679006537"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.1	14.96	-19.92	3.85	10	24.3	14.96	-19.92	3.85	10	24.3	"3.85"	"10"	"24.3"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p53 shift"	"-"	0.1	10.73	-11.46	78.9	92	101	8.92	-7.84	69.9	88	99.5	"74.2637865988531"	"89.9777750336159"	"100.247194474459"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p-H3"	"-"	0.1	5.74	-1.48	202	250	264	4.25	1.5	179	220	253	"190.152570321834"	"234.520787991171"	"258.441482738356"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr Polyploidy"	"-"	0.1	-2.5	15	26.8	57	88.2	-2.59	15.18	27.1	59	85.2	"26.9495825570638"	"57.9913786695919"	"86.6870232503112"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.1	4.37	1.26	67.8	92	107	3.21	3.58	51.3	88	109	"58.9757577314612"	"89.9777750336159"	"107.995370271137"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p53 shift"	"-"	0.1	22.67	-35.34	36.7	70	111	22.67	-35.34	36.7	70	111	"36.7"	"70"	"111"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p-H3"	"-"	0.1	-1.54	13.08	NA	NA	NA	-1.72	13.44	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"+"	0.1	-18.02	46.04	NA	NA	NA	-18.05	46.1	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"-"	0.1	-4.41	18.82	NA	NA	NA	-4.41	18.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"+"	0.1	-15.4	40.8	NA	NA	NA	-15.41	40.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"-"	0.1	-21.26	52.52	NA	NA	NA	-21.31	52.62	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"CometChip"	"% DNA in tail"	"-"	0.1	11.09	-12.18	1.2e-06	0.0059	0.055	11.13	-12.26	1.33e-06	0.016	0.117	"1.2633289357883e-06"	"0.0097159662411929"	"0.0802184517427256"
"33419-42-0"	"Etoposide"	"MicroFlow"	"% Micronucleus"	"-"	0.1	-10.67	31.34	NA	NA	NA	-9.89	29.78	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"%Cytotoxicity"	"-"	0.1	13.17	-16.34	0	1.4e-06	0.00503	13.2	-16.4	1.01e-06	0.0014	0.0101	"0"	"4.42718872423573e-05"	"0.00712762232445014"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.1	18.56	-27.12	0.0226	0.03	0.0389	19.99	-29.98	0.0269	0.034	0.0423	"0.0246564393211996"	"0.0319374388453426"	"0.0405643932531968"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p53 shift"	"-"	0.1	30.68	-51.36	0.00784	0.0097	0.0118	34.12	-58.24	0.0101	0.012	0.0137	"0.00889853920595959"	"0.0107888831674089"	"0.0127145585845518"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p-H3"	"-"	0.1	-2.84	15.68	0.00306	0.02	0.0537	-3.65	17.3	0.00672	0.037	0.0717	"0.00453466647064588"	"0.0272029410174709"	"0.0620507050725453"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr Polyploidy"	"-"	0.1	-8.08	26.16	NA	NA	NA	-8.17	26.34	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.1	31.74	-53.48	0.0104	0.014	0.0187	31.97	-53.94	0.0107	0.015	0.0195	"0.0105489335953925"	"0.0144913767461894"	"0.0190958110589731"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p53 shift"	"-"	0.1	32.46	-54.92	0.0164	0.022	0.0289	32.46	-54.92	0.0164	0.022	0.0289	"0.0164"	"0.022"	"0.0289"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p-H3"	"-"	0.1	5.79	-1.58	0.00163	0.0053	0.0254	3.17	3.66	0.0112	0.028	0.0604	"0.00427270406183251"	"0.0121819538662728"	"0.0391683545735585"
"33419-42-0"	"Etoposide"	"TGR FE1"	"Mutation Frequency"	"-"	0.1	0.98	8.04	NA	NA	NA	0.98	8.04	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"+"	0.1	-15.38	40.76	NA	NA	NA	-15.38	40.76	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"-"	0.1	-16.44	42.88	NA	NA	NA	-16.24	42.48	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"+"	0.1	-18.2	46.4	NA	NA	NA	-18.2	46.4	NA	NA	NA	"NA"	"NA"	"NA"
